HEADER	
'time'	'pressure drop'
UNITS	
'hour'	'bar'
9.75	0.10982
9.767	0.10974
9.783	0.10983
9.8	0.10943
9.816	0.10962
9.833	0.10991
9.85	0.11018
9.867	0.11025
9.883	0.10973
9.9	0.10982
9.917	0.10945
9.933	0.10957
9.95	0.1091
9.966	0.11065
9.983	0.10978
10	0.10974
10.017	0.10955
10.033	0.11025
10.05	0.1094
10.067	0.10981
10.084	0.11069
10.1	0.10971
10.117	0.11049
10.134	0.11115
10.15	0.11043
10.167	0.11048
10.183	0.11101
10.2	0.11074
10.217	0.11105
10.234	0.11063
10.25	0.11053
10.267	0.11051
10.284	0.11112
10.3	0.11103
10.317	0.10989
10.333	0.10995
10.35	0.11071
10.367	0.11021
10.384	0.1099
10.4	0.11014
10.417	0.11003
10.434	0.1099
10.45	0.11071
10.467	0.11041
10.483	0.10987
10.5	0.11086
10.517	0.11008
10.534	0.1102
10.55	0.1097
10.567	0.11111
10.584	0.1094
10.6	0.11032
10.617	--
10.633	0.10938
10.65	0.11013
10.667	0.11002
10.684	0.11048
10.7	0.11
10.717	0.10991
10.734	0.10974
10.75	0.10978
10.767	0.10955
10.783	0.11012
10.8	0.11053
10.817	0.10953
10.834	0.10974
10.85	0.11011
10.867	0.11055
10.884	0.11057
10.9	0.10955
10.917	0.10964
10.933	0.11035
10.95	0.11137
10.967	0.11082
10.984	0.11034
11	0.10947
11.017	0.10964
11.034	0.11093
11.05	0.1106
11.067	0.10981
11.083	0.10947
11.1	0.11052
11.117	0.10977
11.134	0.10978
11.15	0.11019
11.167	0.10966
11.184	0.10936
11.2	0.10904
11.217	0.1084
11.233	0.10876
11.25	0.10856
11.267	0.10848
11.284	0.1083
11.3	0.10852
11.317	0.10873
11.334	0.10789
11.35	0.10881
11.367	0.1087
11.383	0.10795
11.4	0.10784
11.417	0.10829
11.434	0.10811
11.45	0.10854
11.467	0.1078
11.484	0.10879
11.5	0.1085
11.517	0.10823
11.533	0.10852
11.55	0.10822
11.567	0.10796
11.584	0.10921
11.6	0.10839
11.617	0.10858
11.634	0.10852
11.65	0.10827
11.667	0.1085
11.683	0.10805
11.7	0.11621
11.717	0.1105
11.734	0.10949
11.75	0.10963
11.767	0.10936
11.784	0.10985
11.8	0.11035
11.817	0.10992
11.833	0.11092
11.85	0.1101
11.867	0.11109
11.884	0.11078
11.9	0.11033
11.917	0.10965
11.934	0.1099
11.95	0.11025
11.967	0.10998
11.983	0.11017
12	0.10994
12.017	0.10926
12.034	0.11039
12.05	0.10969
12.067	0.1088
12.084	0.10965
12.1	0.10855
12.117	0.10898
12.133	0.10881
12.15	0.10863
12.167	0.10917
12.183	0.10903
12.2	0.10864
12.216	0.10872
12.233	0.10985
12.25	0.10819
12.267	0.10796
12.283	0.10804
12.3	0.10921
12.317	0.10803
12.333	0.10822
12.35	0.10851
12.366	0.10888
12.383	0.10837
12.4	0.10793
12.417	0.10771
12.433	0.10797
12.45	0.1077
12.467	0.10762
12.483	0.10805
12.5	0.10792
12.516	0.10763
12.533	0.10887
12.55	0.10768
12.567	0.10761
12.583	0.10814
12.6	0.10726
12.617	0.10733
12.633	0.1071
12.65	0.10796
12.666	0.10784
12.683	0.10769
12.7	0.10754
12.717	0.10803
12.733	0.10861
12.75	0.10896
12.767	0.10855
12.783	0.10885
12.8	0.10918
12.816	0.10851
12.833	0.10832
12.85	0.10908
12.867	0.10773
12.883	0.10823
12.9	0.10771
12.917	0.10865
12.933	0.10857
12.95	0.10834
12.966	0.10846
12.983	0.10788
13	0.10763
13.017	0.10882
13.033	0.10935
13.05	0.10767
13.067	0.10733
13.083	0.10759
13.1	0.10755
13.116	0.10805
13.133	0.10811
13.15	0.10731
13.167	0.10816
13.183	0.10775
13.2	0.10847
13.217	0.1086
13.233	0.10739
13.25	0.10809
13.266	0.10761
13.283	0.10776
13.3	0.10854
13.317	0.10965
13.333	0.10928
13.35	0.1095
13.367	0.10812
13.383	0.10915
13.4	0.10842
13.416	0.1091
13.433	0.10942
13.45	0.10906
13.467	0.10943
13.483	0.10871
13.5	0.1092
13.517	0.1094
13.533	0.10871
13.55	0.10825
13.566	0.10935
13.583	0.109
13.6	0.10912
13.617	0.10861
13.633	0.10878
13.65	0.10861
13.667	0.10878
13.683	0.10859
13.7	0.10922
13.716	0.10936
13.733	0.10977
13.75	0.10968
13.767	0.10978
13.783	0.10834
13.8	0.10881
13.817	0.10941
13.833	0.10837
13.85	0.11151
13.866	0.10821
13.883	0.10883
13.9	0.10832
13.917	0.10887
13.933	0.10866
13.95	0.10894
13.967	0.10912
13.983	0.10962
14	0.10869
14.016	0.10892
14.033	0.10953
14.05	0.10951
14.067	0.1101
14.083	0.11011
14.1	0.10935
14.117	0.10957
14.133	0.10908
14.15	0.10942
14.166	0.10887
14.183	0.10878
14.2	0.10883
14.217	0.10845
14.233	0.10898
14.25	0.10923
14.267	0.10888
14.283	0.10895
14.3	0.10958
14.316	0.10795
14.333	0.10942
14.35	0.10855
14.367	0.10833
14.383	0.10818
14.4	0.10907
14.417	0.10913
14.433	0.10842
14.45	0.10947
14.466	0.10922
14.483	0.10835
14.5	0.10807
14.517	0.10939
14.533	0.10844
14.55	0.10846
14.567	0.1084
14.583	0.10845
14.6	0.10898
14.616	0.10924
14.633	0.10858
14.65	0.10819
14.667	0.10874
14.683	0.10944
14.7	0.10842
14.717	0.10854
14.733	0.1088
14.75	0.10873
14.766	0.10933
14.783	0.10895
14.8	0.10828
